text,link,state,contributors,text_cleaned
⚠️ PR #55 Age Chart for Ontario (maluhoss)Issue #17 Age breakdown chart (based on design),https://github.com/EQWorks/flaat-dash/pull/55,wip,based on design, Age Chart for Ontario (maluhoss)Issue Age breakdown chart (based on
👀 PR #2 Ip classification (steven-mindswire),https://github.com/EQWorks/hhv2_prod/pull/2,needs review,steven-mindswire, Ip classification
✔️ PR #14 Backwards compatibility/service account (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/14,done,wwwmonsterlam, Backwards compatibility/service account
✔️ PR #13 Connector/framework (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/13,done,wwwmonsterlam, Connector/framework
"⚠️ PR #8 gam - multi-read, multi-write process ready for batch (woozyking)",https://github.com/EQWorks/data-hub/pull/8,wip,woozyking," gam - multi-read, multi-write process ready for batch"
👀 PR #42 connectionHub - datetime serialization bugfix (waynezhu6),https://github.com/EQWorks/EnrichData/pull/42,needs review,waynezhu6, connectionHub - datetime serialization bugfix
👀 PR #23 single user server - fix poststart hook due to invalid token (maluhoss),https://github.com/EQWorks/JupyterHub/pull/23,needs review,maluhoss, single user server - fix poststart hook due to invalid token
👀 PR #78 get_audience,https://github.com/EQWorks/locussdk/pull/78,needs review,,
👀 PR #135 add airflow dag file for hhv2 weekly update (QingleiZhang),https://github.com/EQWorks/datapipeline-task/pull/135,needs review,QingleiZhang, add airflow dag file for hhv2 weekly update
⚠️ PR #2 Add work sample solution 1-3 (woozyking),https://github.com/EQWorks/data-analyst-training/pull/2,wip,woozyking, Add work sample solution 1-3
👀 PR #126 VISX/Plotly/D3 exp (DoParkEQ),https://github.com/EQWorks/chart-system/pull/126,needs review,DoParkEQ, VISX/Plotly/D3 exp
✔️ PR #648 geo cohort pacing (eq-ianecc),https://github.com/EQWorks/overseer/pull/648,done,eq-ianecc, geo cohort pacing
✔️ PR #34 New bounding box logic (tris-olson),https://github.com/EQWorks/path_builder/pull/34,done,tris-olson, New bounding box logic
✔️ PR #1 Step fn migration (odesiuz),https://github.com/EQWorks/dev-gtfs/pull/1,done,odesiuz, Step fn migration
⚠️ PR #1 Port - tensorflow playground ts (woozyking),https://github.com/EQWorks/nn-viz/pull/1,wip,woozyking, Port - tensorflow playground ts
