text,link,state,contributors,text_cleaned
✔️ PR #11 04 - intro on data aggregation and visualization (woozyking),https://github.com/EQWorks/python-curriculum/pull/11,done,woozyking, 04 - intro on data aggregation and visualization
⚠️ PR #126 VISX/Plotly exp (DoParkEQ),https://github.com/EQWorks/chart-system/pull/126,wip,DoParkEQ, VISX/Plotly exp
👀 PR #59 Access ATOM impressions logs (maluhoss),https://github.com/EQWorks/locussdk/pull/59,needs review,maluhoss, Access ATOM impressions logs
✔️ PR #58 geocode - append geocode result to original data (bsandi1220),https://github.com/EQWorks/locussdk/pull/58,done,bsandi1220, geocode - append geocode result to original data
✔️ PR #6 demo files - update to pandas df native compatibility (bsandi1220),https://github.com/EQWorks/notebook-files/pull/6,done,bsandi1220, demo files - update to pandas df native compatibility
✔️ PR #18 devops - update notebook image include tensorflow (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/18,done,bsandi1220, devops - update notebook image include tensorflow
👀 PR #13 Google analytics 4 connector (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/13,needs review,supuntennakoon, Google analytics 4 connector
👀 PR #11 Supun tests (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/11,needs review,supuntennakoon, Supun tests
✔️ PR #16 show contributors by project and group digest items by NLP labels (woozyking),https://github.com/EQWorks/updates/pull/16,done,woozyking, show contributors by project and group digest items by NLP labels
✔️ PR #36 lib - parseRaw for NLP labeling of arbitrary array of strings (woozyking),https://github.com/EQWorks/release/pull/36,done,woozyking, lib - parseRaw for NLP labeling of arbitrary array of strings
👀 PR #35 Bert embedding (steven-mindswire),https://github.com/EQWorks/release/pull/35,needs review,steven-mindswire, Bert embedding
⚠️ PR #32 nlp/label - 2021-Feb batch (woozyking),https://github.com/EQWorks/release/pull/32,wip,woozyking, nlp/label - 2021-Feb batch
⚠️ PR #2 GitHub workflows setup; refactor files to make them general; create new note using 'New note' instead of 'Prepare' templates (geoerika),https://github.com/EQWorks/hugo-chores/pull/2,wip,geoerika, GitHub workflows setup; refactor files to make them general; create new note using 'New note' instead of 'Prepare' templates
👀 PR #6 Daily pipeline/add commute (bsandi1220),https://github.com/EQWorks/POIClustering/pull/6,needs review,bsandi1220, Daily pipeline/add commute
⚠️ PR #10 ip/eval meta and ip unary clustering (steven-mindswire),https://github.com/EQWorks/DataEvaluation/pull/10,wip,steven-mindswire, ip/eval meta and ip unary clustering
👀 PR #30 update master branch with in-production code (tris-olson),https://github.com/EQWorks/path_builder/pull/30,needs review,tris-olson, update master branch with in-production code
