text,link,state,contributors,text_cleaned
"👀 PR #122 data - add Pandas variant, revise instructions, submission in notebooks (woozyking)",https://github.com/EQWorks/ws-problems/pull/122,needs review,woozyking," data - add Pandas variant, revise instructions, submission in notebooks"
✔️ PR #114 mobile - open options to use stacks like flutter (woozyking),https://github.com/EQWorks/ws-problems/pull/114,done,woozyking, mobile - open options to use stacks like flutter
👀 PR #113 product - re-org tracks and revise problems (woozyking),https://github.com/EQWorks/ws-problems/pull/113,needs review,woozyking, product - re-org tracks and revise problems
✔️ PR #1 devops/gltich - update install instruction (woozyking),https://github.com/EQWorks/ws-product-ruby/pull/1,done,woozyking, devops/gltich - update install instruction
✔️ PR #3 My branch (warrenchu),https://github.com/EQWorks/ws-data-spark/pull/3,done,warrenchu, My branch
👀 PR #2 docker - use jupyter/pyspark-notebook image as the base (woozyking),https://github.com/EQWorks/ws-data-spark/pull/2,needs review,woozyking, docker - use jupyter/pyspark-notebook image as the base
✔️ PR #185 Fix/sdr preprocess oom (QingleiZhang),https://github.com/EQWorks/Miner/pull/185,done,QingleiZhang, Fix/sdr preprocess oom
👀 PR #12 Bell test final filter (QingleiZhang),https://github.com/EQWorks/cognitive/pull/12,needs review,QingleiZhang, Bell test final filter
👀 PR #11 Bell test data clean (steven-mindswire),https://github.com/EQWorks/cognitive/pull/11,needs review,steven-mindswire, Bell test data clean
👀 PR #9 add README.md (wwwmonsterlam),https://github.com/EQWorks/cognitive/pull/9,needs review,wwwmonsterlam, add README.md
⚠️ PR #22 popular times v1 - remove preprocessing from pipeline (bsandi1220),https://github.com/EQWorks/DeviceCounts/pull/22,wip,bsandi1220, popular times v1 - remove preprocessing from pipeline
👀 PR #1 Step fn migration (odesiuz),https://github.com/EQWorks/dev-gtfs/pull/1,needs review,odesiuz, Step fn migration
👀 PR #63 AOI - Improve fetching data (maluhoss),https://github.com/EQWorks/locussdk/pull/63,needs review,maluhoss, AOI - Improve fetching data
✔️ PR #60 enrich - update direct mapping to use posturl (bsandi1220),https://github.com/EQWorks/locussdk/pull/60,done,bsandi1220, enrich - update direct mapping to use posturl
✔️ PR #62 get_popular_times - remove suppport for popular-times-v1 (bsandi1220),https://github.com/EQWorks/locussdk/pull/62,done,bsandi1220, get_popular_times - remove suppport for popular-times-v1
✔️ PR #61 get_geojson - add presigned post url for scalability (bsandi1220),https://github.com/EQWorks/locussdk/pull/61,done,bsandi1220, get_geojson - add presigned post url for scalability
👀 PR #31 AOI - improve scalability (maluhoss),https://github.com/EQWorks/EnrichData/pull/31,needs review,maluhoss, AOI - improve scalability
✔️ PR #30 get_geojson - update to use presigned post url (bsandi1220),https://github.com/EQWorks/EnrichData/pull/30,done,bsandi1220, get_geojson - update to use presigned post url
✔️ PR #29 get_presigned_post - add upload type enrich (bsandi1220),https://github.com/EQWorks/EnrichData/pull/29,done,bsandi1220, get_presigned_post - add upload type enrich
✔️ PR #7 demo - remove popular-times-v1 (bsandi1220),https://github.com/EQWorks/notebook-files/pull/7,done,bsandi1220, demo - remove popular-times-v1
👀 PR #23 popular-times-v1 - remove API backend (bsandi1220),https://github.com/EQWorks/PopularTimes/pull/23,needs review,bsandi1220, popular-times-v1 - remove API backend
👀 PR #4 Shopify - Endpoints for the Events Section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/4,needs review,supuntennakoon, Shopify - Endpoints for the Events Section
👀 PR #3 Shopify - Endpoints for the Inventory Section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/3,needs review,supuntennakoon, Shopify - Endpoints for the Inventory Section
👀 PR #2 Shopify - Endpoints for the Orders section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/2,needs review,supuntennakoon, Shopify - Endpoints for the Orders section
👀 PR #1 Shopify - Endpoints for the Products section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/1,needs review,supuntennakoon, Shopify - Endpoints for the Products section
✔️ PR #19 devops - update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/19,done,bsandi1220, devops - update notebook image
✔️ PR #14 06 - meta-automation (woozyking),https://github.com/EQWorks/python-curriculum/pull/14,done,woozyking, 06 - meta-automation
👀 PR #35 Bert embedding (steven-mindswire),https://github.com/EQWorks/release/pull/35,needs review,steven-mindswire, Bert embedding
✔️ PR #32 nlp/label - 2021-Feb batch (woozyking),https://github.com/EQWorks/release/pull/32,done,woozyking, nlp/label - 2021-Feb batch
👀 PR #5 Hivestack index filter (odesiuz),https://github.com/EQWorks/astral/pull/5,needs review,odesiuz, Hivestack index filter
⚠️ PR #4 Index Job (QingleiZhang),https://github.com/EQWorks/astral/pull/4,wip,QingleiZhang, Index Job
