text,link,state,contributors,text_cleaned
👀 PR #12 Stripe - Added The extra parameteres for the payment methods,https://github.com/EQWorks/connector-stripe/pull/12,needs review,, Stripe - Added The extra parameteres for the payment
👀 PR #11 Stripe - Added The extra parameteres for the core resources,https://github.com/EQWorks/connector-stripe/pull/11,needs review,, Stripe - Added The extra parameteres for the core
👀 PR #9 Stripe - Endpoints for the Orders section (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/9,needs review,supuntennakoon, Stripe - Endpoints for the Orders section
👀 PR #8 Stripe - Endpoints for the Terminal section (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/8,needs review,supuntennakoon, Stripe - Endpoints for the Terminal section
👀 PR #7 Stripe - Endpoints for the Issuing section (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/7,needs review,supuntennakoon, Stripe - Endpoints for the Issuing section
👀 PR #6 Stripe - Endpoints for the Fraud section (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/6,needs review,supuntennakoon, Stripe - Endpoints for the Fraud section
👀 PR #4 Stripe - Endpoints for the Billing (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/4,needs review,supuntennakoon, Stripe - Endpoints for the Billing
"👀 PR #10 Stripe - Endpoints for the Sigma, Reporting, webhooks sections (supuntennakoon)",https://github.com/EQWorks/connector-stripe/pull/10,needs review,supuntennakoon," Stripe - Endpoints for the Sigma, Reporting, webhooks sections"
👀 PR #5 Stripe - Endpoints for the Connect (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/5,needs review,supuntennakoon, Stripe - Endpoints for the Connect
✔️ PR #16 update airflow dag deployment (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/16,done,wwwmonsterlam, update airflow dag deployment
👀 PR #25 Devops - update image for singleuser to v0.8.0 (maluhoss),https://github.com/EQWorks/JupyterHub/pull/25,needs review,maluhoss, Devops - update image for singleuser to v0.8.0
✔️ PR #84 Devops - fix path to demo-notebooks tests (waynezhu6),https://github.com/EQWorks/locussdk/pull/84,done,waynezhu6, Devops - fix path to demo-notebooks tests
✔️ PR #83 Devops - fix path to demo-notebooks tests (waynezhu6),https://github.com/EQWorks/locussdk/pull/83,done,waynezhu6, Devops - fix path to demo-notebooks tests
"✔️ PR #82 Add ipyleaflet, timezonefinder, modin and ray + add commit-watch (maluhoss)",https://github.com/EQWorks/locussdk/pull/82,done,maluhoss," Add ipyleaflet, timezonefinder, modin and ray + add commit-watch"
✔️ PR #80 Devops - add automated testing for demo notebooks on release (waynezhu6),https://github.com/EQWorks/locussdk/pull/80,done,waynezhu6, Devops - add automated testing for demo notebooks on release
✔️ PR #12 Bugfix/exception detection (wwwmonsterlam),https://github.com/EQWorks/connector-shopify/pull/12,done,wwwmonsterlam, Bugfix/exception detection
