text,link,state,contributors,text_cleaned
⚠️ PR #24 13 - Data processing (maluhoss),https://github.com/EQWorks/python-curriculum/pull/24,wip,maluhoss, 13 - Data processing
✔️ PR #23 Work with generated/fake data (woozyking),https://github.com/EQWorks/python-curriculum/pull/23,done,woozyking, Work with generated/fake data
👀 PR #27 Commit watch integration and mention in git conventions (woozyking),https://github.com/EQWorks/common/pull/27,needs review,woozyking, Commit watch integration and mention in git conventions
✔️ PR #19 github_action - add commit-watch (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/19,done,wwwmonsterlam, github_action - add commit-watch
✔️ PR #15 New table/oauth info (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/15,done,wwwmonsterlam, New table/oauth info
✔️ PR #18 fix - deployment (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/18,done,wwwmonsterlam, fix - deployment
✔️ PR #17 fix/lambda - direct type detection. (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/17,done,wwwmonsterlam, fix/lambda - direct type detection.
✔️ PR #86 Devops - change ray version from 1.1.0 (maluhoss),https://github.com/EQWorks/locussdk/pull/86,done,maluhoss, Devops - change ray version from 1.1.0
👀 PR #85 Save Dataset as Hub Connection - check values by typecasting (maluhoss),https://github.com/EQWorks/locussdk/pull/85,needs review,maluhoss, Save Dataset as Hub Connection - check values by typecasting
✔️ PR #14 Fix/orders2 (wwwmonsterlam),https://github.com/EQWorks/connector-shopify/pull/14,done,wwwmonsterlam, Fix/orders2
✔️ PR #13 Fix/orders (wwwmonsterlam),https://github.com/EQWorks/connector-shopify/pull/13,done,wwwmonsterlam, Fix/orders
"✔️ PR #10 Shopify - Endpoints for TenderTransaction, Metafield, Plus sections (supuntennakoon)",https://github.com/EQWorks/connector-shopify/pull/10,done,supuntennakoon," Shopify - Endpoints for TenderTransaction, Metafield, Plus sections"
✔️ PR #9 Shopify - Endpoints for Discounts section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/9,done,supuntennakoon, Shopify - Endpoints for Discounts section
✔️ PR #7 Shopify - Endpoints for Store Properties (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/7,done,supuntennakoon, Shopify - Endpoints for Store Properties
✔️ PR #6 Shopify - Endpoints for Shipping and fulfillment Section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/6,done,supuntennakoon, Shopify - Endpoints for Shipping and fulfillment Section
✔️ PR #11 Shopify - Endpoints for Online Store section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/11,done,supuntennakoon, Shopify - Endpoints for Online Store section
👀 PR #12 Stripe - Added The extra parameteres for the payment methods,https://github.com/EQWorks/connector-stripe/pull/12,needs review,, Stripe - Added The extra parameteres for the payment
👀 PR #11 Stripe - Added The extra parameteres for the core resources,https://github.com/EQWorks/connector-stripe/pull/11,needs review,, Stripe - Added The extra parameteres for the core
👀 PR #9 Stripe - Endpoints for the Orders section (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/9,needs review,supuntennakoon, Stripe - Endpoints for the Orders section
👀 PR #8 Stripe - Endpoints for the Terminal section (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/8,needs review,supuntennakoon, Stripe - Endpoints for the Terminal section
