text,link,state,contributors,text_cleaned
"⚠️ PR #8 03 dict, while, loop controls, time-complexity (woozyking)",https://github.com/EQWorks/python-curriculum/pull/8,wip,woozyking," 03 dict, while, loop controls, time-complexity"
✔️ PR #7 03 - data containers and repetitions (1/3) (woozyking),https://github.com/EQWorks/python-curriculum/pull/7,done,woozyking, 03 - data containers and repetitions (1/3)
⚠️ PR #1 Query mechanism and daily finance aggregation (woozyking),https://github.com/EQWorks/smaug/pull/1,wip,woozyking, Query mechanism and daily finance aggregation
⚠️ PR #125 experiment on visx/d3 integration (DoParkEQ),https://github.com/EQWorks/chart-system/pull/125,wip,DoParkEQ, experiment on visx/d3 integration
✔️ PR #50 get_dataset - fix aoi storage including resolution (bsandi1220),https://github.com/EQWorks/locussdk/pull/50,done,bsandi1220, get_dataset - fix aoi storage including resolution
✔️ PR #49 get_audience_from_poi_list - add method to create audience from poi list (bsandi1220),https://github.com/EQWorks/locussdk/pull/49,done,bsandi1220, get_audience_from_poi_list - add method to create audience from poi list
✔️ PR #48 poi - add get_avail_poi_lists and get_pois (bsandi1220),https://github.com/EQWorks/locussdk/pull/48,done,bsandi1220, poi - add get_avail_poi_lists and get_pois
✔️ PR #22 audience build - update dynamodb table (bsandi1220),https://github.com/EQWorks/PopularTimes/pull/22,done,bsandi1220, audience build - update dynamodb table
✔️ PR #25 hh - update fernet key (bsandi1220),https://github.com/EQWorks/EnrichData/pull/25,done,bsandi1220, hh - update fernet key
✔️ PR #15 devops -update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/15,done,bsandi1220, devops -update notebook image
👀 PR #9 Google analytics supun (wwwmonsterlam),https://github.com/EQWorks/connector-google-analytics/pull/9,needs review,wwwmonsterlam, Google analytics supun
👀 PR #3 Clustering pipeline/add polygon (bsandi1220),https://github.com/EQWorks/POIClustering/pull/3,needs review,bsandi1220, Clustering pipeline/add polygon
⚠️ PR #21 Popular times v2/dynamodb upload (bsandi1220),https://github.com/EQWorks/DeviceCounts/pull/21,wip,bsandi1220, Popular times v2/dynamodb upload
✔️ PR #20 count_devices - fix dataframe structure when saving to rds (bsandi1220),https://github.com/EQWorks/DeviceCounts/pull/20,done,bsandi1220, count_devices - fix dataframe structure when saving to rds
✔️ PR #19 Update - Add device capture and export to S3 (mptcloud),https://github.com/EQWorks/DeviceCounts/pull/19,done,mptcloud, Update - Add device capture and export to S3
⚠️ PR #10 ip/eval meta and ip unary clustering (steven-mindswire),https://github.com/EQWorks/DataEvaluation/pull/10,wip,steven-mindswire, ip/eval meta and ip unary clustering
✔️ PR #17 dev-journal - filter undefined values for vacay tasks (hyx131),https://github.com/EQWorks/avail-bot/pull/17,done,hyx131, dev-journal - filter undefined values for vacay tasks
✔️ PR #13 github - dedupe PR co-committers list (woozyking),https://github.com/EQWorks/updates/pull/13,done,woozyking, github - dedupe  co-committers list
"✔️ PR #12 Range for monthly and annual digest, with API usage optimizations (woozyking)",https://github.com/EQWorks/updates/pull/12,done,woozyking," Range for monthly and annual digest, with API usage optimizations"
✔️ PR #31 tag - make access to package.json safer (tlowande),https://github.com/EQWorks/release/pull/31,done,tlowande, tag - make access to package.json safer
✔️ PR #49 Fix/Vast - Fix banner code (kevlabs),https://github.com/EQWorks/camp-history-writer/pull/49,done,kevlabs, Fix/Vast - Fix banner code
👀 PR #30 update master branch with in-production code (tris-olson),https://github.com/EQWorks/path_builder/pull/30,needs review,tris-olson, update master branch with in-production code
✔️ PR #29 update shortest_path with wrapper file and code for airflow pipeline (tris-olson),https://github.com/EQWorks/path_builder/pull/29,done,tris-olson, update shortest_path with wrapper file and code for airflow pipeline
✔️ PR #24 airflowize daily commute and commute wrapper optimization (ansel-rangers11),https://github.com/EQWorks/path_builder/pull/24,done,ansel-rangers11, airflowize daily commute and commute wrapper optimization
⚠️ PR #4 Index Job (QingleiZhang),https://github.com/EQWorks/astral/pull/4,wip,QingleiZhang, Index Job
👀 PR #3 Commute direction (dshparyk),https://github.com/EQWorks/astral/pull/3,needs review,dshparyk, Commute direction
