text,link,state,contributors,text_cleaned
✔️ PR #19 add Quantitave & Qualitative filter (kc-leung)Issue #18 Create filters for quantitave/qualitative data,https://github.com/EQWorks/lumen-table/pull/19,done,kc-leung, add Quantitave & Qualitative filter (kc-leung)Issue Create filters for quantitave/qualitative
👀 PR #89 [G2M ] States/ezpz (hyx131),https://github.com/EQWorks/ml-ui/pull/89,needs review,hyx131, States/ezpz
✔️ PR #87 Ezpz (hyx131),https://github.com/EQWorks/ml-ui/pull/87,done,hyx131, Ezpz
✔️ PR #79 State Management with Easy-Peasy (woozyking),https://github.com/EQWorks/ml-ui/pull/79,done,woozyking, State Management with Easy-Peasy
⚠️ PR #1 Ongoing projects (woozyking),https://github.com/EQWorks/kb/pull/1,wip,woozyking, Ongoing projects
✔️ PR #13 package - changed to v1.1.0 (kc-leung),https://github.com/EQWorks/lumen-ui/pull/13,done,kc-leung, package - changed to v1.1.0
👀 PR #11 Port styled card container (DoParkEQ),https://github.com/EQWorks/lumen-ui/pull/11,needs review,DoParkEQ, Port styled card container
"✔️ PR #12 alert - simplification - header case logic, remove inline style, remove redundant props (woozyking)",https://github.com/EQWorks/lumen-ui/pull/12,done,woozyking," alert - simplification - header case logic, remove inline style, remove redundant props"
👀 PR #10 import modal and styled card container (DoParkEQ),https://github.com/EQWorks/lumen-ui/pull/10,needs review,DoParkEQ, import modal and styled card container
✔️ PR #9 add forwardRef wrapper to every component (kc-leung)Issue #8 Add ForwardRef into every component,https://github.com/EQWorks/lumen-ui/pull/9,done,kc-leung, add forwardRef wrapper to every component (kc-leung)Issue Add ForwardRef into every
⚠️ PR #2 Add work sample solution 1-3 (woozyking),https://github.com/EQWorks/data-analyst-training/pull/2,wip,woozyking, Add work sample solution 1-3
👀 PR #71 Legend scale fix for zero max; rename MLReportMap as QLReportMap; tooltip styling; restyle Legend to horizontal layout; add truncate function for Legend Title; add formatData object; add custom opacity for Gradient; adjust GeoCohortMap to all these changes (geoerika),https://github.com/EQWorks/react-maps/pull/71,needs review,geoerika, Legend scale fix for zero max; rename MLReportMap as QLReportMap; tooltip styling; restyle Legend to horizontal layout; add truncate function for Legend Title; add formatData object; add custom opacity for Gradient; adjust GeoCohortMap to all these changes
✔️ PR #70 Geo Cohort Map - create geojson map; data-based colour fill & elevation; tooltip; multiple legends; highlightObj (geoerika),https://github.com/EQWorks/react-maps/pull/70,done,geoerika, Geo Cohort Map - create geojson map; data-based colour fill & elevation; tooltip; multiple legends; highlightObj
👀 PR #126 VISX/Plotly/D3 exp (DoParkEQ),https://github.com/EQWorks/chart-system/pull/126,needs review,DoParkEQ, VISX/Plotly/D3 exp
✔️ PR #155 Extracted (tlowande),https://github.com/EQWorks/react-labs/pull/155,done,tlowande, Extracted
✔️ PR #147 alert - simplify alert and eliminate inline-styles (woozyking),https://github.com/EQWorks/react-labs/pull/147,done,woozyking, alert - simplify alert and eliminate inline-styles
⚠️ PR #55 Age Chart for Ontario (maluhoss)Issue #17 Age breakdown chart (based on design),https://github.com/EQWorks/flaat-dash/pull/55,wip,based on design, Age Chart for Ontario (maluhoss)Issue Age breakdown chart (based on
⚠️ PR #1812 GeoCohortMap (geoerika),https://github.com/EQWorks/overlord/pull/1812,wip,geoerika, GeoCohortMap
⚠️ PR #1810 OLD GeoCohort Map (geoerika),https://github.com/EQWorks/overlord/pull/1810,wip,geoerika, OLD GeoCohort Map
👀 PR #1808 geo cohort/reports (DoParkEQ),https://github.com/EQWorks/overlord/pull/1808,needs review,DoParkEQ, geo cohort/reports
👀 PR #848 geo cohort pacing (eq-ianecc),https://github.com/EQWorks/flash/pull/848,needs review,eq-ianecc, geo cohort pacing
✔️ PR #14 Backwards compatibility/service account (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/14,done,wwwmonsterlam, Backwards compatibility/service account
✔️ PR #13 Connector/framework (wwwmonsterlam),https://github.com/EQWorks/data-hub/pull/13,done,wwwmonsterlam, Connector/framework
"⚠️ PR #8 gam - multi-read, multi-write process ready for batch (woozyking)",https://github.com/EQWorks/data-hub/pull/8,wip,woozyking," gam - multi-read, multi-write process ready for batch"
👀 PR #950 hub/google - associate to new service account (woozyking),https://github.com/EQWorks/snoke/pull/950,needs review,woozyking, hub/google - associate to new service account
👀 PR #919 design - change illustrations in home and notebook (YizhiCatherineZhang),https://github.com/EQWorks/snoke/pull/919,needs review,YizhiCatherineZhang, design - change illustrations in home and notebook
✔️ PR #526 hub - adapt to new staged data-hub lambdas (woozyking),https://github.com/EQWorks/firstorder/pull/526,done,woozyking, hub - adapt to new staged data-hub lambdas
✔️ PR #525 HH Segments - expand access to include ONLIA WL (maluhoss),https://github.com/EQWorks/firstorder/pull/525,done,maluhoss, HH Segments - expand access to include ONLIA WL
✔️ PR #524 QL/Geo - Move intersection table to locus_place (kevlabs),https://github.com/EQWorks/firstorder/pull/524,done,kevlabs, QL/Geo - Move intersection table to locus_place
👀 PR #42 connectionHub - datetime serialization bugfix (waynezhu6),https://github.com/EQWorks/EnrichData/pull/42,needs review,waynezhu6, connectionHub - datetime serialization bugfix
👀 PR #23 single user server - fix poststart hook due to invalid token (maluhoss),https://github.com/EQWorks/JupyterHub/pull/23,needs review,maluhoss, single user server - fix poststart hook due to invalid token
👀 PR #78 get_audience,https://github.com/EQWorks/locussdk/pull/78,needs review,,
⚠️ PR #1 Port - tensorflow playground ts (woozyking),https://github.com/EQWorks/nn-viz/pull/1,wip,woozyking, Port - tensorflow playground ts
