text,link,state,contributors,text_cleaned
⚠️ PR #87 Ezpz (hyx131),https://github.com/EQWorks/ml-ui/pull/87,wip,hyx131, Ezpz
✔️ PR #86 Ezpz widgets (tlowande),https://github.com/EQWorks/ml-ui/pull/86,done,tlowande, Ezpz widgets
⚠️ PR #85 Add map widget (geoerika),https://github.com/EQWorks/ml-ui/pull/85,wip,geoerika, Add map widget
⚠️ PR #70 Saved queries (hyx131),https://github.com/EQWorks/ml-ui/pull/70,wip,hyx131, Saved queries
⚠️ PR #79 State Management with Easy-Peasy (woozyking),https://github.com/EQWorks/ml-ui/pull/79,wip,woozyking, State Management with Easy-Peasy
👀 PR #7 Add color variants to button (kc-leung),https://github.com/EQWorks/lumen-ui/pull/7,needs review,kc-leung, Add color variants to button
👀 PR #67 get_audience - add limit to number of pois (bsandi1220),https://github.com/EQWorks/locussdk/pull/67,needs review,bsandi1220, get_audience - add limit to number of pois
✔️ PR #507 activity - remove popular-times 750/min rate limit (woozyking),https://github.com/EQWorks/firstorder/pull/507,done,woozyking, activity - remove popular-times 750/min rate limit
✔️ PR #506 hub - add s3 object connection type and auto sync on creation (woozyking),https://github.com/EQWorks/firstorder/pull/506,done,woozyking, hub - add s3 object connection type and auto sync on creation
👀 PR #505 ML Overhaul - Executions + saved queries (kevlabs),https://github.com/EQWorks/firstorder/pull/505,needs review,kevlabs, ML Overhaul - Executions + saved queries
✔️ PR #25 devops - fix serverless (bsandi1220),https://github.com/EQWorks/PopularTimes/pull/25,done,bsandi1220, devops - fix serverless
✔️ PR #24 encryption - update encrypt method to achieve consistency over time (bsandi1220),https://github.com/EQWorks/PopularTimes/pull/24,done,bsandi1220, encryption - update encrypt method to achieve consistency over time
✔️ PR #34 devops - fix serverless (bsandi1220),https://github.com/EQWorks/EnrichData/pull/34,done,bsandi1220, devops - fix serverless
✔️ PR #33 popular times -  update decryption method (bsandi1220),https://github.com/EQWorks/EnrichData/pull/33,done,bsandi1220, popular times - update decryption method
✔️ PR #945 hub - new s3 object connector (woozyking),https://github.com/EQWorks/snoke/pull/945,done,woozyking, hub - new s3 object connector
⚠️ PR #939 ml - upgrade ml version + react-query version (hyx131),https://github.com/EQWorks/snoke/pull/939,wip,hyx131, ml - upgrade ml version + react-query version
"⚠️ PR #895 ML connect (c: tlowande, a: hyx131)",https://github.com/EQWorks/snoke/pull/895,wip,"c: tlowande, a: hyx131"," ML connect (c: tlowande, a:"
👀 PR #7 dashboard management interactions (DoParkEQ),https://github.com/EQWorks/snoke-dashboard/pull/7,needs review,DoParkEQ, dashboard management interactions
