text,link,state,contributors,text_cleaned
👀 PR #148 Tabs (hyx131),https://github.com/EQWorks/react-labs/pull/148,needs review,hyx131, Tabs
👀 PR #147 alert - simplify alert and eliminate inline-styles (woozyking),https://github.com/EQWorks/react-labs/pull/147,needs review,woozyking, alert - simplify alert and eliminate inline-styles
👀 PR #145 devops - release workflow rev and CHANGELOG redirects to github releases (woozyking),https://github.com/EQWorks/react-labs/pull/145,needs review,woozyking, devops - release workflow rev and CHANGELOG redirects to github releases
👀 PR #50 Files/restructure (hyx131),https://github.com/EQWorks/ml-ui/pull/50,needs review,hyx131, Files/restructure
👀 PR #49 query-builder/views - persist subviews open state (tlowande)Issue #48 persist subviews parent open,https://github.com/EQWorks/ml-ui/pull/49,needs review,tlowande, query-builder/views - persist subviews open state (tlowande)Issue persist subviews parent
✔️ PR #47 query-builder/filter - add default time for dates (tlowande)Issue #37 fix datePicker in where clause,https://github.com/EQWorks/ml-ui/pull/47,done,tlowande, query-builder/filter - add default time for dates (tlowande)Issue fix datePicker in where
"⚠️ PR #6 02 - logic controls (bitwise operations, try/except, assert) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/6,wip,woozyking," 02 - logic controls (bitwise operations, try/except, assert)"
"👀 PR #5 02 - logic controls (conditions, boolean operations) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/5,needs review,woozyking," 02 - logic controls (conditions, boolean operations)"
👀 PR #844 Fix/Adserver - Click tracker in click handler (kevlabs),https://github.com/EQWorks/flash/pull/844,needs review,kevlabs, Fix/Adserver - Click tracker in click handler
✔️ PR #843 agent - fix no expire daily nobids counters (eq-ianecc),https://github.com/EQWorks/flash/pull/843,done,eq-ianecc, agent - fix no expire daily nobids counters
⚠️ PR #1796 Integrate new poi-manage (geoerika),https://github.com/EQWorks/overlord/pull/1796,wip,geoerika, Integrate new poi-manage
👀 PR #18 Device/hh enrichment (bsandi1220),https://github.com/EQWorks/EnrichData/pull/18,needs review,bsandi1220, Device/hh enrichment
✔️ PR #17 Demographic enrichment by distance (maluhoss),https://github.com/EQWorks/EnrichData/pull/17,done,maluhoss, Demographic enrichment by distance
✔️ PR #482 Fix/ML - Add env to serverless (kevlabs),https://github.com/EQWorks/firstorder/pull/482,done,kevlabs, Fix/ML - Add env to serverless
✔️ PR #481 Dataset - add distance for enriching by distance (maluhoss),https://github.com/EQWorks/firstorder/pull/481,done,maluhoss, Dataset - add distance for enriching by distance
✔️ PR #480 Fix/ML - FDW connect + Atom segment view + WL/CU filters + Prefix sql cols with table + Debug mode (kevlabs),https://github.com/EQWorks/firstorder/pull/480,done,kevlabs, Fix/ML - FDW connect + Atom segment view + WL/CU filters + Prefix sql cols with table + Debug mode
✔️ PR #42 Enrich by distance (maluhoss),https://github.com/EQWorks/locussdk/pull/42,done,maluhoss, Enrich by distance
⚠️ PR #33 Add prompt for billing for getting AOI data (maluhoss),https://github.com/EQWorks/locussdk/pull/33,wip,maluhoss, Add prompt for billing for getting AOI data
✔️ PR #907 Add Map back under Analytics in nav (YizhiCatherineZhang),https://github.com/EQWorks/snoke/pull/907,done,YizhiCatherineZhang, Add Map back under Analytics in nav
✔️ PR #13 Asana/dev journal (hyx131),https://github.com/EQWorks/avail-bot/pull/13,done,hyx131, Asana/dev journal
⚠️ PR #8 devJournal - export methods for legion slack command (hyx131),https://github.com/EQWorks/avail-bot/pull/8,wip,hyx131, devJournal - export methods for legion slack command
✔️ PR #7 Dev journal (hyx131),https://github.com/EQWorks/avail-bot/pull/7,done,hyx131, Dev journal
✔️ PR #61 Patch calendar (tlowande),https://github.com/EQWorks/legion/pull/61,done,tlowande, Patch calendar
